レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2023/06/13 8:27:40,Microsoft-Windows-WindowsUpdateClient,44,Windows Update エージェント,Windows Update は更新プログラムのダウンロードを開始しました。
情報,2023/06/13 8:27:40,Microsoft-Windows-WindowsUpdateClient,44,Windows Update エージェント,Windows Update は更新プログラムのダウンロードを開始しました。
情報,2023/06/13 8:27:39,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat のアクセス履歴がクリアされました。これにより、4 のキーが更新され、1 の変更されたページが作成されました。
情報,2023/06/13 8:27:36,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat のアクセス履歴がクリアされました。これにより、3 のキーが更新され、1 の変更されたページが作成されました。
情報,2023/06/13 8:27:34,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat のアクセス履歴がクリアされました。これにより、9 のキーが更新され、1 の変更されたページが作成されました。
情報,2023/06/13 8:27:34,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\SystemAppData\Helium\User.dat のアクセス履歴がクリアされました。これにより、9 のキーが更新され、1 の変更されたページが作成されました。
情報,2023/06/13 8:27:34,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\Settings\settings.dat のアクセス履歴がクリアされました。これにより、45 のキーが更新され、9 の変更されたページが作成されました。
情報,2023/06/13 8:27:30,Microsoft-Windows-Kernel-General,15,(10),ハイブ \??\C:\WINDOWS\System32\config\COMPONENTS は、開始サイズ 33292288 バイト、終了サイズ 33292288 バイトで再構成されました。
情報,2023/06/13 8:27:30,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\Microsoft.People_8wekyb3d8bbwe\Settings\settings.dat のアクセス履歴がクリアされました。これにより、2 のキーが更新され、1 の変更されたページが作成されました。
情報,2023/06/13 8:27:27,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\Users\Toshiki\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings\settings.dat のアクセス履歴がクリアされました。これにより、32 のキーが更新され、6 の変更されたページが作成されました。
